Colleges,State
PGIMER Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,"['Arunachal Pradesh', 'Chandigarh']"
"DAV College (DAV), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Panjab University,"['Arunachal Pradesh', 'Chandigarh']"
Chitkara School of Hospitality,"['Arunachal Pradesh', 'Chandigarh']"
"Gian Jyoti Institute of Management and Technology, Mohali","['Arunachal Pradesh', 'Chandigarh']"
GMCH Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CIHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
"Government College of Education (GCE), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Aryans Group Of Colleges,"['Arunachal Pradesh', 'Chandigarh']"
GHSC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
PEC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Goswami Ganesh Dutta S.D. College,"['Arunachal Pradesh', 'Chandigarh']"
"POST GRADUATE GOVERNMENT COLLEGE FOR GIRLS, SECTOR-11 CHANDIGARH","['Arunachal Pradesh', 'Chandigarh']"
NIT Arunachal Pradesh,"['Arunachal Pradesh', 'Chandigarh']"
North Eastern Regional Institute of Science and Technology,"['Arunachal Pradesh', 'Chandigarh']"
Rajiv Gandhi University,"['Arunachal Pradesh', 'Chandigarh']"
Arunodaya University,"['Arunachal Pradesh', 'Chandigarh']"
Sri Guru Granth Sahib World University,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
"Government Polytechnic for Women (GPW), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
National Dental College & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
ISTC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UBS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCA Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCET Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UILS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
IHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Central Agricultural University : College of Horticulture & Forestry,"['Arunachal Pradesh', 'Chandigarh']"
"Govt.College (GCB), Bomdila","['Arunachal Pradesh', 'Chandigarh']"
PGIMER Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,"['Arunachal Pradesh', 'Chandigarh']"
"DAV College (DAV), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Panjab University,"['Arunachal Pradesh', 'Chandigarh']"
Chitkara School of Hospitality,"['Arunachal Pradesh', 'Chandigarh']"
"Gian Jyoti Institute of Management and Technology, Mohali","['Arunachal Pradesh', 'Chandigarh']"
GMCH Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CIHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
"Government College of Education (GCE), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Aryans Group Of Colleges,"['Arunachal Pradesh', 'Chandigarh']"
GHSC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
PEC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Goswami Ganesh Dutta S.D. College,"['Arunachal Pradesh', 'Chandigarh']"
"POST GRADUATE GOVERNMENT COLLEGE FOR GIRLS, SECTOR-11 CHANDIGARH","['Arunachal Pradesh', 'Chandigarh']"
NIT Arunachal Pradesh,"['Arunachal Pradesh', 'Chandigarh']"
North Eastern Regional Institute of Science and Technology,"['Arunachal Pradesh', 'Chandigarh']"
Rajiv Gandhi University,"['Arunachal Pradesh', 'Chandigarh']"
Arunodaya University,"['Arunachal Pradesh', 'Chandigarh']"
Sri Guru Granth Sahib World University,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
"Government Polytechnic for Women (GPW), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
National Dental College & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
ISTC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UBS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCA Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCET Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UILS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
IHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Central Agricultural University : College of Horticulture & Forestry,"['Arunachal Pradesh', 'Chandigarh']"
"Govt.College (GCB), Bomdila","['Arunachal Pradesh', 'Chandigarh']"
PGIMER Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,"['Arunachal Pradesh', 'Chandigarh']"
"DAV College (DAV), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Panjab University,"['Arunachal Pradesh', 'Chandigarh']"
Chitkara School of Hospitality,"['Arunachal Pradesh', 'Chandigarh']"
"Gian Jyoti Institute of Management and Technology, Mohali","['Arunachal Pradesh', 'Chandigarh']"
GMCH Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CIHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
"Government College of Education (GCE), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Aryans Group Of Colleges,"['Arunachal Pradesh', 'Chandigarh']"
GHSC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
PEC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Goswami Ganesh Dutta S.D. College,"['Arunachal Pradesh', 'Chandigarh']"
"POST GRADUATE GOVERNMENT COLLEGE FOR GIRLS, SECTOR-11 CHANDIGARH","['Arunachal Pradesh', 'Chandigarh']"
NIT Arunachal Pradesh,"['Arunachal Pradesh', 'Chandigarh']"
North Eastern Regional Institute of Science and Technology,"['Arunachal Pradesh', 'Chandigarh']"
Rajiv Gandhi University,"['Arunachal Pradesh', 'Chandigarh']"
Arunodaya University,"['Arunachal Pradesh', 'Chandigarh']"
Sri Guru Granth Sahib World University,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
"Government Polytechnic for Women (GPW), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
National Dental College & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
ISTC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UBS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCA Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCET Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UILS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
IHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Central Agricultural University : College of Horticulture & Forestry,"['Arunachal Pradesh', 'Chandigarh']"
"Govt.College (GCB), Bomdila","['Arunachal Pradesh', 'Chandigarh']"
NIFT PATNA,['Bihar']
Gaya College,['Bihar']
IGIMS Patna,['Bihar']
Mirza Ghalib Teacher s Training College,['Bihar']
IIT Patna,['Bihar']
"International School of Management (ISM), Patna",['Bihar']
Dr. Rajendra Prasad Central Agricultural University,['Bihar']
ITTC Patna,['Bihar']
NIT Patna,['Bihar']
Dr. S.P. Singh College of Teacher Education,['Bihar']
DMC Darbhanga,['Bihar']
NMCH Patna,['Bihar']
IIM Bodh Gaya,['Bihar']
COCAS Patna,['Bihar']
"St. Xavier's College of Education (SXCE), Patna",['Bihar']
"AIIMS Patna, Patna",['Bihar']
Central University of South Bihar,['Bihar']
MIT Muzaffarpur,['Bihar']
PMCH Patna,['Bihar']
A N Magadh Medical College,['Bihar']
IIIT Bhagalpur,['Bihar']
Amity University Patna,['Bihar']
Patna Women's College,['Bihar']
Vardhman Institute of Medical Science,['Bihar']
NIHER Patna,['Bihar']
PDC Patna,['Bihar']
M.V. College,['Bihar']
BCE Bhagalpur,['Bihar']
M.P. College,['Bihar']
Sandip University - Sijoul,['Bihar']
SKMC Muzaffarpur,['Bihar']
NMCH Sasaram,['Bihar']
Dr. B.R. Ambedkar Institute Of Dental Sciences & Hospital,['Bihar']
"Government Polytechnic (GP), Bhagalpur",['Bihar']
BIDSH Patna,['Bihar']
Tirhut College of Agriculture,['Bihar']
DCE Darbhanga,['Bihar']
"Netaji Subhas Institute Of Technology (NSIT), Patna",['Bihar']
Patna College,['Bihar']
K.K. Polytechnic,['Bihar']
Marwari College,['Bihar']
"Delhi Paramedical & Management Institute, Gaya",['Bihar']
Saryug Dental College,['Bihar']
CNLU Patna,['Bihar']
M.K.S. College,['Bihar']
sachchidanand Sinha college,['Bihar']
SITYOG Institute of Technology,['Bihar']
ZAIC Siwan,['Bihar']
KMC Katihar,['Bihar']
GPI Patna,['Bihar']
BN College,['Bihar']
MACET Patna,['Bihar']
MGM's Institute of Biosciences & Technology,['Bihar']
Millia Institute of Technology,['Bihar']
GCE Gaya,['Bihar']
Langat Singh College,['Bihar']
RPSIT Patna,['Bihar']
TRTC Patna,['Bihar']
SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY,['Bihar']
Sitamarhi Institute of Technology,['Bihar']
Vidya Vihar Institute of Technology,['Bihar']
Chaudhary Charan Singh college,['Bihar']
"Mahila College (MC), Dehri-On-Sone",['Bihar']
"Government Polytechnic (GP), Muzaffarpur",['Bihar']
K.S.R. College,['Bihar']
Nawada Vidhi Mahavidyalaya,['Bihar']
Vanijya Mahavidyalaya,['Bihar']
R.B. College,['Bihar']
Loknayak Jai Prakash Institute of Technology,['Bihar']
M.A.M. College,['Bihar']
"Dr. C.V. Raman University, Bihar",['Bihar']
TNB Law College,['Bihar']
RRSDCE Begusarai,['Bihar']
KEC Katihar,['Bihar']
D.K. College,['Bihar']
"Bihar Agricultural College, Sabour",['Bihar']
A. N. Sinha Institute of Social Studies,['Bihar']
BCE Patna,['Bihar']
Maharaja Law College,['Bihar']
R.P. College,['Bihar']
SAMC Patna,['Bihar']
"Government Women's Polytechnic (GWP), Patna",['Bihar']
Bharat Institute of Aeronautics,['Bihar']
Catalyst Institute of Management and Advance Global Excellence,['Bihar']
ADWAITA MISSION INSTITUTE OF TECHNOLOGY,['Bihar']
Moti Babu Institute of Technology,['Bihar']
Sanjay Gandhi Institute of Dairy Technology,['Bihar']
IIBM Patna,['Bihar']
R.M.M. Law College,['Bihar']
Prabhu Kailash Polytechnic,['Bihar']
"Government Polytechnic (GP), Saharsa",['Bihar']
Chandragupt Institute Of Management,['Bihar']
BCP Patna,['Bihar']
NGP Patna,['Bihar']
Braja Mohan Thakur Law College,['Bihar']
MS College Motihari,['Bihar']
Patna Law College,['Bihar']
Vidyadaan Institute of Technology and Management,['Bihar']
C.M. Law College,['Bihar']
Nitishwar Mahavidyalaya,['Bihar']
"AZMET INSTITUTE OF TECHNOLOGY (AIT), Kishanganj",['Bihar']
Lakshmi Narayan College,['Bihar']
ANC Patna,['Bihar']
DS College Katihar,['Bihar']
Narayan College,['Bihar']
BINP Patna,['Bihar']
NSIP Patna,['Bihar']
Shakuntalam ITI,['Bihar']
ZEE EDUCATION FOUNDATION INSTITUTE OF PHARMACY,['Bihar']
MAHADEVA LAL SCHROFF COLLEGE OF PHARMACY,['Bihar']
"KURMA SANSKRITI INSTITUTE OF PHARMACEUTICAL SCIENCE,JEHANABAD",['Bihar']
Nibha Institute of Pharmaceutical Sciences,['Bihar']
"Pt. U.S.T.M. College, Bagaha",['Bihar']
Jannayak Karpuri Thakur Vidhi Mahavidhyalaya,['Bihar']
Anjabit Singh College,['Bihar']
Shivnandan Prasad Law college,['Bihar']
Magadh Mahila College,['Bihar']
DAMCH Siwan,['Bihar']
Nalanda Mahila College,['Bihar']
Tapindu Institute Of Higher Studies,['Bihar']
MJK College,['Bihar']
PATNA SAHIB TECHNICAL CAMPUS,['Bihar']
S. K. J Law College,['Bihar']
NCE Nalanda,['Bihar']
Patna Sahib Group of Colleges,['Bihar']
"Institute Of Business Management (IBM), Darbhanga",['Bihar']
Government Women s Polytechnic,['Bihar']
Nagendra Jha Mahila College,['Bihar']
Jagdam College,['Bihar']
B.R.B. COLLEGE,['Bihar']
GEMA Patna,['Bihar']
Shri Bhagwan College of Pharmacy,['Bihar']
MKCET Kishanganj,['Bihar']
K.G.N ITI,['Bihar']
Gautam Buddha Pvt Industrial Training Institute,['Bihar']
"M.P. College, Balsara",['Bihar']
R.K.A. Vidhi College,['Bihar']
"B.S. Vidhi Sansthan, Munger",['Bihar']
MAHESH SINGH YADAV COLLEGE,['Bihar']
NORTH INDIA COMPUTER & ELECTRONICS PATNA,['Bihar']
"Vidhi Mahavidyalaya, Samastipur",['Bihar']
LBKMC Saharsa,['Bihar']
M.R.M. College,['Bihar']
Sunderwati Mahila College,['Bihar']
Jaglal Choudhary College,['Bihar']
G.M.R.D. College,['Bihar']
Siddhartha Institute of Technology (ITI),['Bihar']
Ganga Singh College,['Bihar']
Millia Group Of Institutions,['Bihar']
SKMC Begusarai,['Bihar']
RP COLLEGE OF PHARMACY(B.PHARMACY),['Bihar']
S.B.N.M. D. PHARMACY COLLEGE ALANI,['Bihar']
Jai Prakash Mahila College,['Bihar']
BRM College,['Bihar']
Sumitra Mahila College,['Bihar']
TNB Bhagalpur,['Bihar']
"SERSHAH ENGINEERING COLLEGE, SASARAM",['Bihar']
"B. P. MANDAL COLLEGE OF ENGINEERING, MADHEPURA",['Bihar']
H. P. S. College,['Bihar']
R.P.S College,['Bihar']
MGM Patna,['Bihar']
Maharani Kalyani College,['Bihar']
LND Motihari,['Bihar']
Forbesganj College,['Bihar']
Ganga Memorial College of Polytechnic,['Bihar']
J.L.N. College,['Bihar']
Bihar Private Industrial Training Institutes,['Bihar']
Buddha Industrial Training Institute,['Bihar']
Imarat Mojiba Technical Institute,['Bihar']
Narayan Industrial Training Institute,['Bihar']
Kirti Nath Hahnemannian Medical College,['Bihar']
Neelam Singh Institute of Science & Technology,['Bihar']
Adwaita Mission Industrial Training Institute,['Bihar']
Dhanraj Singh College,['Bihar']
Ganga Devi Mahila Mahavidyalaya,['Bihar']
Salfia Unani Medical College,['Bihar']
K. K. Polytechnic,['Bihar']
Sachidanand College,['Bihar']
JDWC Patna,['Bihar']
Mohammad Hussain Azad National Degree College,['Bihar']
Exalt College of Engineering and Technology,['Bihar']
Dr Ram Manohar Lohiya Smarak College,['Bihar']
G.D.Memorial Homoeopathic Medical College,['Bihar']
R.D.Kedia Homoeopathic Medical College,['Bihar']
SBSS Begusarai,['Bihar']
S.M.S.G. College,['Bihar']
Ram Nirikshan Atma Ram College,['Bihar']
"Azmet College of Engineering and Technology (ACET), Patna",['Bihar']
Buddha Institute of Technology Polytechnic College,['Bihar']
Ganesh Dutt College,['Bihar']
PSC Patna,['Bihar']
Ramdayalu Singh College,['Bihar']
Maltidhari College,['Bihar']
SXCMT Patna,['Bihar']
"Arcade Business College (ABC), Patna",['Bihar']
BSC NURSING COLLEGE JLNMCH BHAGALPUR,['Bihar']
Jawahar Lal Nehru Medical College & Hospital,['Bihar']
"Maharshi Menhi Homoeopathic Medical College And Hospital, Katihar",['Bihar']
"R. Y. Manihari  College, Manihari",['Bihar']
JANNAYAK KARPURI THAKUR MEDICAL COLLEGE AND HOSPITAL MADHEPURA,['Bihar']
Government Ayurvedic College,['Bihar']
NETAJI SUBHAS MEDICAL COLLEGE AND HOSPITAL,['Bihar']
"Bihar Veterinary College, Patna",['Bihar']
Parmarth Institute of Teacher's Education,['Bihar']
Siwan Engineering College & Technical Institute,['Bihar']
AM College Gaya,['Bihar']
"Vidya Bhawan Mahila Mahavidyalaya (VBMM), Chhapra",['Bihar']
Rajendra Mishra College,['Bihar']
RNC Hajipur,['Bihar']
MLT Saharsa,['Bihar']
Sher Shah College,['Bihar']
"Institute of Hotel Management (IHM), Hazipur",['Bihar']
Jai Prakash College,['Bihar']
LNMCBM Patna,['Bihar']
VIBRM Muzaffarpur,['Bihar']
Maharaja College,['Bihar']
Mahadeo Singh College,['Bihar']
Veerayatan B.Ed. College,['Bihar']
Sri Narayan Singh College,['Bihar']
Tarkeshwar Narain Agrawal Teachers' Training College,['Bihar']
B. S. College,['Bihar']
B.N. College Of Education,['Bihar']
B. M. A. College,['Bihar']
B.R. Degree College,['Bihar']
C M College,['Bihar']
Magadh Teacher Training's B.Ed College,['Bihar']
MTTC Madhubani,['Bihar']
Shri Bhagwat Prasad Singh Memorial B.Ed College,['Bihar']
K.S. College of Professional Education,['Bihar']
Trident B.Ed. College,['Bihar']
"Awadh Bihari Singh College (ABSC), Vaishali",['Bihar']
M.P. Sinha Science College,['Bihar']
College of Arts & Crafts,['Bihar']
GDM College Harnaut,['Bihar']
Patliputra College of computer Science and Management,['Bihar']
Shivam College of Higher Studies,['Bihar']
Maurya College,['Bihar']
Ramrup Prasad B.Ed. College,['Bihar']
Maha Bodhi Teacher's Training College,['Bihar']
Patel College of Education,['Bihar']
S.A. college of Education,['Bihar']
Patliputra Teachers' Training College,['Bihar']
RTTC Patna,['Bihar']
G.B.M College,['Bihar']
"Sardar Vallabh Bhai Patel College (SVPC), Kaimur (Bhabua)",['Bihar']
S.B. College,['Bihar']
Nalanda College,['Bihar']
Prabhunath College,['Bihar']
Mahant Darshan Das Mahila College,['Bihar']
Maitreya College of Education and Management,['Bihar']
Badri Narayan college,['Bihar']
Hari Narayan Singh Institute of Teachers Education,['Bihar']
"College of Teacher Education (CTE), Darbhanga",['Bihar']
Gorakh Singh College,['Bihar']
WTC Patna,['Bihar']
"Ram Lakhan Singh Yadav College (RLSYC), Aurangabad(Bh)",['Bihar']
Rajendra Memorial Women's College,['Bihar']
M P College of Education,['Bihar']
MTTC Madhubani,['Bihar']
Ramesh Jha Mahila College,['Bihar']
MCTE Patna,['Bihar']
RK College Madhubani,['Bihar']
Lok Manya Bal Gangadhar Tilak College,['Bihar']
Ganga Global Institute of Teacher Education,['Bihar']
Ram Krishna Dwarika College,['Bihar']
VBCE Bhagalpur,['Bihar']
K.P. College,['Bihar']
Shri Nityanand Jha College of Education,['Bihar']
Khawaja Shahid Hussain Primary Teachers Training College,['Bihar']
St.Teresa s Primary Teacher s Education College,['Bihar']
BCTE Patna,['Bihar']
Takshila College of Education,['Bihar']
A.M. College,['Bihar']
Kurji Holy Family Hospital,['Bihar']
Jamui BEd College,['Bihar']
"Triveni College of Education (TCE), Nawada",['Bihar']
Solanki B.Ed. Teachers' Training College,['Bihar']
Ramadhar Singh Teacher Training College,['Bihar']
Gautam Budh Teacher's Training College,['Bihar']
Rameshwar Laxmi Mahto Teachers Training College,['Bihar']
Gautam Teachers Training College,['Bihar']
"Nalanda Mahila Shikshak Prashikshan Mahavidyalaya (NMSPM), Bihar Sharif",['Bihar']
Nalanda Teacher's Training College,['Bihar']
Bihar College Education,['Bihar']
Tapeshwar Singh Teachers' Training College,['Bihar']
Kingway Technical Institute,['Bihar']
Raghu Saroj Welfare and Charitable Trust,['Bihar']
Siddartha Teacher's Training College,['Bihar']
Bhagwan Prasad Sheonath Prasad B.Ed. College,['Bihar']
TTC Bhagalpur,['Bihar']
Madhavan Memorial College of Education,['Bihar']
Mahatma Gandhi Teacher's Training College,['Bihar']
Maa Aranya Devi B.Ed College,['Bihar']
Baikunth Teacher's Training,['Bihar']
D.B.K.N College,['Bihar']
"College of Teacher Education (CTE), Saharsa",['Bihar']
Chandrasheel College Of Education Muzaffarpur,['Bihar']
"Ram Shrestha Singh College, Teachers' Training Wing",['Bihar']
ZHTTC Darbhanga,['Bihar']
"Oriental College of Education (OCE), Darbhanga",['Bihar']
Balmiki Teacher`s Training College,['Bihar']
CRK College of Education,['Bihar']
Licchave College of Teachers Training,['Bihar']
Basundhara Teachers Training College,['Bihar']
Abul Kalam Minority Teacher s Training College,['Bihar']
S.R.T.T. College,['Bihar']
Gyan Bharti Teachers Training College,['Bihar']
Mahatma Gandhi B.ed College,['Bihar']
Sukhdeo Narayan lal Bahadur Sita Ram memorial B.Ed College,['Bihar']
Vaishali Institute of Education & Technology,['Bihar']
DIET Banka,['Bihar']
H.D Jain College,['Bihar']
"District Institute of Education and Training, Lakhisarai Laheriasarai",['Bihar']
B.N.R. Training College,['Bihar']
K.M.D. College,['Bihar']
Dr. Yadubir Sinha Homoeopathic Medical College,['Bihar']
Kent Homeopathic Medical College,['Bihar']
Magadh Homoeopathic Medical College,['Bihar']
G.N.S Teacher's Training College,['Bihar']
Mahila B.Ed. College,['Bihar']
Shanti Prasad Jain College,['Bihar']
Devendra Pathak Sarvodaya College of Education Gaya,['Bihar']
Badsah Prasad Azad College of Education,['Bihar']
